Year,Age,Gender,Deaths
2561,0,0,2722
2561,0,1,1985
2561,1,0,300
2561,1,1,241
2561,2,0,225
2561,2,1,181
2561,3,0,190
2561,3,1,128
2561,4,0,201
2561,4,1,119
2561,5,0,171
2561,5,1,100
2561,6,0,158
2561,6,1,109
2561,7,0,148
2561,7,1,65
2561,8,0,133
2561,8,1,71
2561,9,0,146
2561,9,1,104
2561,10,0,137
2561,10,1,98
2561,11,0,137
2561,11,1,97
2561,12,0,177
2561,12,1,127
2561,13,0,315
2561,13,1,138
2561,14,0,390
2561,14,1,155
2561,15,0,579
2561,15,1,177
2561,16,0,585
2561,16,1,171
2561,17,0,709
2561,17,1,212
2561,18,0,756
2561,18,1,226
2561,19,0,770
2561,19,1,203
2561,20,0,916
2561,20,1,262
2561,21,0,802
2561,21,1,275
2561,22,0,887
2561,22,1,258
2561,23,0,916
2561,23,1,293
2561,24,0,934
2561,24,1,270
2561,25,0,1003
2561,25,1,281
2561,26,0,1021
2561,26,1,332
2561,27,0,1077
2561,27,1,325
2561,28,0,1012
2561,28,1,350
2561,29,0,1065
2561,29,1,334
2561,30,0,1066
2561,30,1,397
2561,31,0,1134
2561,31,1,361
2561,32,0,1266
2561,32,1,419
2561,33,0,1279
2561,33,1,486
2561,34,0,1448
2561,34,1,507
2561,35,0,1619
2561,35,1,525
2561,36,0,1685
2561,36,1,602
2561,37,0,1853
2561,37,1,674
2561,38,0,2009
2561,38,1,736
2561,39,0,2068
2561,39,1,757
2561,40,0,2352
2561,40,1,785
2561,41,0,2490
2561,41,1,968
2561,42,0,2656
2561,42,1,943
2561,43,0,2733
2561,43,1,1080
2561,44,0,2919
2561,44,1,1116
2561,45,0,3032
2561,45,1,1224
2561,46,0,3232
2561,46,1,1314
2561,47,0,3367
2561,47,1,1468
2561,48,0,3482
2561,48,1,1515
2561,49,0,3788
2561,49,1,1622
2561,50,0,3917
2561,50,1,1812
2561,51,0,3865
2561,51,1,1854
2561,52,0,4278
2561,52,1,2064
2561,53,0,4421
2561,53,1,2222
2561,54,0,4437
2561,54,1,2260
2561,55,0,4536
2561,55,1,2306
2561,56,0,4708
2561,56,1,2420
2561,57,0,4725
2561,57,1,2428
2561,58,0,5173
2561,58,1,2669
2561,59,0,4922
2561,59,1,2732
2561,60,0,4956
2561,60,1,2682
2561,61,0,5002
2561,61,1,2794
2561,62,0,5201
2561,62,1,3043
2561,63,0,5279
2561,63,1,3261
2561,64,0,5168
2561,64,1,3317
2561,65,0,5319
2561,65,1,3474
2561,66,0,5319
2561,66,1,3549
2561,67,0,5466
2561,67,1,3700
2561,68,0,5678
2561,68,1,3922
2561,69,0,5382
2561,69,1,3974
2561,70,0,5303
2561,70,1,3963
2561,71,0,5217
2561,71,1,4102
2561,72,0,5006
2561,72,1,4053
2561,73,0,4967
2561,73,1,3984
2561,74,0,5186
2561,74,1,4211
2561,75,0,5014
2561,75,1,4176
2561,76,0,5435
2561,76,1,4948
2561,77,0,5337
2561,77,1,4843
2561,78,0,5340
2561,78,1,5107
2561,79,0,5686
2561,79,1,5534
2561,80,0,5437
2561,80,1,5858
2561,81,0,5301
2561,81,1,5726
2561,82,0,5106
2561,82,1,6114
2561,83,0,4860
2561,83,1,5762
2561,84,0,4917
2561,84,1,5958
2561,85,0,4355
2561,85,1,5923
2561,86,0,4085
2561,86,1,5480
2561,87,0,3570
2561,87,1,5181
2561,88,0,3428
2561,88,1,4850
2561,89,0,2841
2561,89,1,4494
2561,90,0,2668
2561,90,1,4232
2561,91,0,2043
2561,91,1,3370
2561,92,0,1809
2561,92,1,2931
2561,93,0,1297
2561,93,1,2413
2561,94,0,1042
2561,94,1,1981
2561,95,0,863
2561,95,1,1700
2561,96,0,617
2561,96,1,1269
2561,97,0,492
2561,97,1,998
2561,98,0,356
2561,98,1,748
2561,99,0,229
2561,99,1,509
2561,100,0,196
2561,100,1,407
2561,101,0,316
2561,101,1,916
2562,0,0,2358
2562,0,1,1768
2562,1,0,266
2562,1,1,238
2562,2,0,228
2562,2,1,137
2562,3,0,162
2562,3,1,112
2562,4,0,136
2562,4,1,97
2562,5,0,139
2562,5,1,103
2562,6,0,159
2562,6,1,105
2562,7,0,131
2562,7,1,91
2562,8,0,126
2562,8,1,83
2562,9,0,152
2562,9,1,92
2562,10,0,140
2562,10,1,60
2562,11,0,169
2562,11,1,102
2562,12,0,196
2562,12,1,100
2562,13,0,308
2562,13,1,144
2562,14,0,413
2562,14,1,151
2562,15,0,547
2562,15,1,163
2562,16,0,612
2562,16,1,191
2562,17,0,642
2562,17,1,205
2562,18,0,730
2562,18,1,194
2562,19,0,790
2562,19,1,258
2562,20,0,819
2562,20,1,225
2562,21,0,771
2562,21,1,263
2562,22,0,853
2562,22,1,279
2562,23,0,922
2562,23,1,253
2562,24,0,939
2562,24,1,288
2562,25,0,967
2562,25,1,307
2562,26,0,1001
2562,26,1,270
2562,27,0,1034
2562,27,1,364
2562,28,0,1095
2562,28,1,336
2562,29,0,1130
2562,29,1,336
2562,30,0,1163
2562,30,1,350
2562,31,0,1146
2562,31,1,381
2562,32,0,1198
2562,32,1,411
2562,33,0,1383
2562,33,1,483
2562,34,0,1434
2562,34,1,478
2562,35,0,1459
2562,35,1,522
2562,36,0,1733
2562,36,1,610
2562,37,0,1899
2562,37,1,693
2562,38,0,2059
2562,38,1,718
2562,39,0,2313
2562,39,1,752
2562,40,0,2435
2562,40,1,895
2562,41,0,2567
2562,41,1,901
2562,42,0,2815
2562,42,1,1020
2562,43,0,2756
2562,43,1,1076
2562,44,0,3086
2562,44,1,1103
2562,45,0,3161
2562,45,1,1227
2562,46,0,3333
2562,46,1,1309
2562,47,0,3543
2562,47,1,1466
2562,48,0,3812
2562,48,1,1666
2562,49,0,3821
2562,49,1,1697
2562,50,0,4120
2562,50,1,1826
2562,51,0,4207
2562,51,1,1981
2562,52,0,4233
2562,52,1,2064
2562,53,0,4592
2562,53,1,2266
2562,54,0,4950
2562,54,1,2377
2562,55,0,4710
2562,55,1,2474
2562,56,0,4976
2562,56,1,2506
2562,57,0,5299
2562,57,1,2622
2562,58,0,5184
2562,58,1,2720
2562,59,0,5510
2562,59,1,2948
2562,60,0,5391
2562,60,1,2880
2562,61,0,5345
2562,61,1,3040
2562,62,0,5409
2562,62,1,3201
2562,63,0,5512
2562,63,1,3424
2562,64,0,5599
2562,64,1,3574
2562,65,0,5513
2562,65,1,3544
2562,66,0,5691
2562,66,1,3770
2562,67,0,5825
2562,67,1,3948
2562,68,0,5853
2562,68,1,4094
2562,69,0,6152
2562,69,1,4434
2562,70,0,5840
2562,70,1,4305
2562,71,0,5683
2562,71,1,4220
2562,72,0,5644
2562,72,1,4443
2562,73,0,5360
2562,73,1,4409
2562,74,0,5371
2562,74,1,4458
2562,75,0,5593
2562,75,1,4658
2562,76,0,5310
2562,76,1,4721
2562,77,0,5990
2562,77,1,5312
2562,78,0,5720
2562,78,1,5379
2562,79,0,5669
2562,79,1,5639
2562,80,0,5990
2562,80,1,6066
2562,81,0,5817
2562,81,1,6147
2562,82,0,5586
2562,82,1,6350
2562,83,0,5332
2562,83,1,6645
2562,84,0,4958
2562,84,1,6259
2562,85,0,5097
2562,85,1,6549
2562,86,0,4599
2562,86,1,6357
2562,87,0,4252
2562,87,1,6110
2562,88,0,3651
2562,88,1,5349
2562,89,0,3429
2562,89,1,5078
2562,90,0,2982
2562,90,1,4463
2562,91,0,2619
2562,91,1,4350
2562,92,0,1999
2562,92,1,3388
2562,93,0,1609
2562,93,1,3022
2562,94,0,1215
2562,94,1,2391
2562,95,0,948
2562,95,1,1754
2562,96,0,747
2562,96,1,1584
2562,97,0,518
2562,97,1,1165
2562,98,0,384
2562,98,1,867
2562,99,0,271
2562,99,1,652
2562,100,0,159
2562,100,1,388
2562,101,0,455
2562,101,1,1048
2563,0,0,1980
2563,0,1,1435
2563,1,0,212
2563,1,1,186
2563,2,0,189
2563,2,1,114
2563,3,0,125
2563,3,1,104
2563,4,0,123
2563,4,1,82
2563,5,0,138
2563,5,1,91
2563,6,0,116
2563,6,1,91
2563,7,0,130
2563,7,1,80
2563,8,0,131
2563,8,1,74
2563,9,0,116
2563,9,1,74
2563,10,0,106
2563,10,1,71
2563,11,0,103
2563,11,1,91
2563,12,0,164
2563,12,1,82
2563,13,0,260
2563,13,1,107
2563,14,0,359
2563,14,1,160
2563,15,0,474
2563,15,1,166
2563,16,0,551
2563,16,1,185
2563,17,0,569
2563,17,1,173
2563,18,0,606
2563,18,1,186
2563,19,0,684
2563,19,1,212
2563,20,0,710
2563,20,1,226
2563,21,0,706
2563,21,1,239
2563,22,0,790
2563,22,1,258
2563,23,0,837
2563,23,1,275
2563,24,0,894
2563,24,1,278
2563,25,0,876
2563,25,1,299
2563,26,0,928
2563,26,1,280
2563,27,0,1044
2563,27,1,287
2563,28,0,1019
2563,28,1,314
2563,29,0,1087
2563,29,1,348
2563,30,0,1107
2563,30,1,352
2563,31,0,1078
2563,31,1,345
2563,32,0,1222
2563,32,1,355
2563,33,0,1205
2563,33,1,426
2563,34,0,1383
2563,34,1,485
2563,35,0,1463
2563,35,1,537
2563,36,0,1656
2563,36,1,525
2563,37,0,1767
2563,37,1,645
2563,38,0,1884
2563,38,1,731
2563,39,0,2132
2563,39,1,773
2563,40,0,2358
2563,40,1,820
2563,41,0,2485
2563,41,1,862
2563,42,0,2596
2563,42,1,977
2563,43,0,2850
2563,43,1,1020
2563,44,0,2990
2563,44,1,1075
2563,45,0,3147
2563,45,1,1186
2563,46,0,3242
2563,46,1,1317
2563,47,0,3494
2563,47,1,1290
2563,48,0,3807
2563,48,1,1587
2563,49,0,4041
2563,49,1,1760
2563,50,0,3851
2563,50,1,1729
2563,51,0,4196
2563,51,1,1868
2563,52,0,4448
2563,52,1,2043
2563,53,0,4448
2563,53,1,2042
2563,54,0,4590
2563,54,1,2292
2563,55,0,4991
2563,55,1,2470
2563,56,0,5045
2563,56,1,2504
2563,57,0,5084
2563,57,1,2618
2563,58,0,5321
2563,58,1,2681
2563,59,0,5415
2563,59,1,2817
2563,60,0,5674
2563,60,1,3098
2563,61,0,5563
2563,61,1,3228
2563,62,0,5501
2563,62,1,3226
2563,63,0,5579
2563,63,1,3298
2563,64,0,5551
2563,64,1,3443
2563,65,0,5940
2563,65,1,3722
2563,66,0,5659
2563,66,1,3662
2563,67,0,5869
2563,67,1,4042
2563,68,0,5941
2563,68,1,4254
2563,69,0,5861
2563,69,1,4237
2563,70,0,6038
2563,70,1,4570
2563,71,0,6147
2563,71,1,4639
2563,72,0,5804
2563,72,1,4501
2563,73,0,5716
2563,73,1,4587
2563,74,0,5382
2563,74,1,4613
2563,75,0,5505
2563,75,1,4564
2563,76,0,5613
2563,76,1,4915
2563,77,0,5369
2563,77,1,4898
2563,78,0,5884
2563,78,1,5556
2563,79,0,5507
2563,79,1,5590
2563,80,0,5610
2563,80,1,5791
2563,81,0,5802
2563,81,1,6074
2563,82,0,5670
2563,82,1,6377
2563,83,0,5323
2563,83,1,6361
2563,84,0,5142
2563,84,1,6382
2563,85,0,4732
2563,85,1,5996
2563,86,0,4599
2563,86,1,6025
2563,87,0,4288
2563,87,1,5779
2563,88,0,3773
2563,88,1,5660
2563,89,0,3239
2563,89,1,5124
2563,90,0,2911
